id;name;type_id
61;Nokia;2
62;OPPO;2
63;Realme;2
64;Samsung;2
65;Xiaomi;2
66;ZTE;2
67;ASANO;3
68;BBK;3
69;Blackton;3
70;Blaupunkt;3
71;BQ;3
72;Econ;3
73;Erisson;3
74;Haier;3
75;Harper;3
76;HISENSE;3
77;Huawei;3
78;Hyundai;3
79;KIVI;3
80;Kraft;3
81;LG;3
82;National;3
83;Olto;3
84;Panasonic;3
85;Philips;3
86;POLARLINE;3
87;Prestigio;3
88;Samsung;3
89;Schaub;3
90;Sharp;3
91;Sony;3
92;Starwind;3
93;Supra;3
94;TCL;3
95;Thomson;3
96;Vekta;3
97;Yuno;3
98;ACER;4
99;Apple;4
100;ASUS;4
101;Dell;4
102;HP;4
103;iRU;4
104;MSI;4
105;Artel;5
106;Ascoli;5
107;ATLANT;5
108;BBK;5
109;Beko;5
110;Bosch;5
111;Candy;5
112;Centek;5
113;Comfee;5
54;Alcatel;2
55;Apple;2
56;ASUS;2
57;BQ;2
58;Honor;2
59;Huawei;2
60;Motorola;2
114;DON;5
115;Electrolux;5
116;Gorenje;5
117;Haier;5
118;Hiberg;5
119;HISENSE;5
120;Hitachi;5
121;Hotpoint-Ariston;5
122;Hyundai;5
123;Indesit;5
124;Jacky's;5
125;Korting;5
126;Kraft;5
127;Kuppersberg;5
128;LEX;5
129;LG;5
130;Liebherr;5
131;MAUNFELD;5
132;Midea;5
133;Miele;5
134;Mitsubishi;5
135;Neff;5
136;NordFrost;5
137;Samsung;5
138;Scandilux;5
139;Schaub;5
140;Sharp;5
141;Shivaki;5
142;Siemens;5
143;Smeg;5
144;Snaige;5
145;TESLER;5
146;Toshiba;5
147;Vestel;5
148;Vestfrost;5
149;Weissgauff;5
150;WILLMARK;5
151;Winia;5
152;Zarget;5
153;Zigmund;5
154;Бирюса;5
155;Позис;5
156;Саратов;5
157;Стинол;5
158;Asko;6
159;ATLANT;6
160;Beko;6
161;Bosch;6
162;Candy;6
163;Electrolux;6
164;ElectroluxProff;6
165;Gorenje;6
166;Haier;6
167;Hansa;6
168;HISENSE;6
169;Hotpoint-Ariston;6
170;Hyundai;6
171;Indesit;6
172;Jacky's;6
173;Korting;6
174;Kuppersberg;6
175;Kuppersbusch;6
176;LG;6
177;MAUNFELD;6
178;Midea;6
179;Miele;6
180;Samsung;6
181;Scandilux;6
182;Schaub;6
183;Siemens;6
184;Smart;6
185;Toshiba;6
186;Vestel;6
187;Vestfrost;6
188;Weissgauff;6
189;Whirlpool;6
190;Winia;6
191;Zanussi;6
192;Бирюса;6
193;Beko;7
194;Bosch;7
195;Darina;7
196;DeLuxe;7
197;Electrolux;7
198;Flama;7
199;GEFEST;7
200;Gorenje;7
201;Haier;7
202;Hansa;7
203;Hotpoint-Ariston;7
204;Indesit;7
205;Kaiser;7
206;Reex;7
207;Simfer;7
208;Smeg;7
209;Vestel;7
210;Zanussi;7
211;ЗВИ;7
212;Лысьва;7
213;Мечта;7
