id;description;title;device_id
655;3G, 4G LTE;Поколение мобильной связи:;110
656;6.22;"Размер дисплея ('"):";110
657;Android 10;Операционная система:;110
658;да;Поддержка двух SIM-карт:;110
659;синий;Цвет:;110
660;Китай;Страна-производитель:;110
661;3G, 4G LTE;Поколение мобильной связи:;111
662;6.22;"Размер дисплея ('"):";111
663;Android 10;Операционная система:;111
664;да;Поддержка двух SIM-карт:;111
665;серый;Цвет:;111
666;Китай;Страна-производитель:;111
667;4G LTE;Поколение мобильной связи:;112
668;6.52;"Размер дисплея ('"):";112
669;Android 11;Операционная система:;112
670;да;Поддержка двух SIM-карт:;112
671;черный;Цвет:;112
672;Китай;Страна-производитель:;112
673;5G;Поколение мобильной связи:;113
674;6.1;"Размер дисплея ('"):";113
675;iOS 14;Операционная система:;113
676;да;Поддержка двух SIM-карт:;113
677;синий;Цвет:;113
678;Китай;Страна-производитель:;113
679;5G;Поколение мобильной связи:;114
680;6.1;"Размер дисплея ('"):";114
681;iOS 14;Операционная система:;114
682;да;Поддержка двух SIM-карт:;114
683;графитовый;Цвет:;114
684;Китай;Страна-производитель:;114
685;3G, 4G LTE, 5G, VoLTE;Поколение мобильной связи:;115
686;5.4;"Размер дисплея ('"):";115
687;iOS;Операционная система:;115
688;да;Поддержка двух SIM-карт:;115
689;темная ночь;Цвет:;115
690;Китай;Страна-производитель:;115
691;5G;Поколение мобильной связи:;116
692;6.7;"Размер дисплея ('"):";116
693;iOS 14;Операционная система:;116
694;да;Поддержка двух SIM-карт:;116
695;синий;Цвет:;116
696;Китай;Страна-производитель:;116
697;5G;Поколение мобильной связи:;117
698;6.7;"Размер дисплея ('"):";117
699;iOS 14;Операционная система:;117
700;да;Поддержка двух SIM-карт:;117
701;синий;Цвет:;117
702;Китай;Страна-производитель:;117
703;4G LTE;Поколение мобильной связи:;118
704;6.5;"Размер дисплея ('"):";118
705;iOS 13;Операционная система:;118
706;да;Поддержка двух SIM-карт:;118
707;серый;Цвет:;118
708;Китай;Страна-производитель:;118
709;5G;Поколение мобильной связи:;119
710;6.7;"Размер дисплея ('"):";119
711;iOS 14;Операционная система:;119
712;да;Поддержка двух SIM-карт:;119
713;серебристый;Цвет:;119
714;Китай;Страна-производитель:;119
715;4G LTE;Поколение мобильной связи:;120
716;6.5;"Размер дисплея ('"):";120
717;iOS 12;Операционная система:;120
718;да;Поддержка двух SIM-карт:;120
719;серый;Цвет:;120
720;Китай;Страна-производитель:;120
721;5G;Поколение мобильной связи:;121
722;5.4;"Размер дисплея ('"):";121
723;iOS 14;Операционная система:;121
724;да;Поддержка двух SIM-карт:;121
725;красный;Цвет:;121
726;Китай;Страна-производитель:;121
727;5G;Поколение мобильной связи:;122
728;6.1;"Размер дисплея ('"):";122
729;iOS 14;Операционная система:;122
730;да;Поддержка двух SIM-карт:;122
731;серебристый;Цвет:;122
732;Китай;Страна-производитель:;122
733;5G;Поколение мобильной связи:;123
734;6.1;"Размер дисплея ('"):";123
735;iOS 14;Операционная система:;123
736;да;Поддержка двух SIM-карт:;123
737;красный;Цвет:;123
738;Китай;Страна-производитель:;123
739;5G;Поколение мобильной связи:;124
740;6.1;"Размер дисплея ('"):";124
741;iOS 14;Операционная система:;124
742;да;Поддержка двух SIM-карт:;124
743;красный;Цвет:;124
1451;черный;Цвет:;252
744;Китай;Страна-производитель:;124
745;5G;Поколение мобильной связи:;125
746;6.7;"Размер дисплея ('"):";125
747;iOS 14;Операционная система:;125
748;да;Поддержка двух SIM-карт:;125
749;золотистый;Цвет:;125
750;Китай;Страна-производитель:;125
751;5G;Поколение мобильной связи:;126
752;6.1;"Размер дисплея ('"):";126
753;iOS 14;Операционная система:;126
754;да;Поддержка двух SIM-карт:;126
755;золотистый;Цвет:;126
756;Китай;Страна-производитель:;126
757;5G;Поколение мобильной связи:;127
758;5.4;"Размер дисплея ('"):";127
759;iOS 14;Операционная система:;127
760;да;Поддержка двух SIM-карт:;127
